,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
0,0.57758063,215.0,-1.0692909,1.547214,0.10489208,-12.728163
1,0.9131134,163.0,-0.51377785,2.327531,0.24855986,-75.2004
2,1.8740435,108.0,-0.7416402,0.85281193,0.35771447,-13.441781
3,0.6321264,134.0,-0.47730327,2.6214726,0.6438916,-5.3886375
4,1.474146,132.0,-0.76651,0.47790748,0.67569464,-50.41326
5,2.1337483,147.0,-0.32063124,1.8028636,0.7225003,-56.351986
6,1.5748881,101.0,-0.66810817,1.7944516,0.85437286,-67.02368
7,0.39385292,493.0,-0.3667311,0.57199234,0.91909,-29.59985
8,0.8837273,347.0,-0.35432437,0.20155956,0.9733197,-38.45197
9,0.41596004,165.0,-1.0161009,1.1394109,0.99767107,-27.101841
11,0.9117626,166.0,-0.4375749,2.220658,1.7043059,-52.99069
12,0.22673517,405.0,-0.71619755,0.7461405,1.9272381,-45.819427
13,1.3173797,130.0,-0.5693726,0.6174407,2.2749255,-20.94188
14,0.26015294,182.0,-1.0769508,0.42296422,2.2910113,-36.801945
15,1.6437188,153.0,-0.55541897,2.1775062,3.0854528,-41.154556
17,1.1839701,136.0,-0.59484637,1.5898932,3.4450104,26.775991
18,0.5504967,150.0,-0.21146782,2.5,3.8080878,-47.45191
20,0.8905688,141.0,-0.4761903,2.2577882,4.88395,-71.00564
22,0.2175965,209.0,-1.1299797,0.35627767,5.328043,-21.294477
23,1.7492623,142.0,-0.848716,1.00927,5.536938,-10.692564
24,1.0180911,136.0,-0.45708433,1.9616259,5.716565,-43.87173
25,0.8547413,139.0,-0.6605652,1.5605245,5.7571635,-29.691544
26,0.6899915,299.0,-0.87220025,0.5796773,5.9513865,11.612057
28,1.2605228,177.0,0.024942867,3.9370756,6.027022,-68.34864
29,17.47855,145.0,-0.5030658,0.6735229,6.454782,-26.0365
30,0.9758675,213.0,-0.9936588,1.2030277,6.5196824,-47.93806
31,0.61600816,129.0,-0.57806885,1.4046041,6.770223,-26.085524
32,0.25414142,276.0,-0.99212027,0.38986582,7.11003,-29.632452
33,0.6877564,187.0,-0.7942824,1.6530503,7.829526,-16.867441
34,0.97830576,655.0,-0.44671988,0.30375576,7.87006,16.543089
35,0.25555453,391.0,-0.4619329,0.8166477,7.93745,-40.698505
36,2.1111758,127.0,-0.767194,0.7077666,8.004237,-8.859217
38,4.0769086,111.0,-0.36273643,1.6938825,8.159141,19.897785
40,0.54594916,230.0,-0.59015954,1.5636425,8.243423,25.730371
