# Gleam_name               RA_gleam     Dec_gleam     S_p          S_p_error     nu_p    nu_p_error   alpha_thin     alpha_thin_error   alpha_thick   alpha_thick_error   alpha_low       alpha_low_error   alpha_high      alpha_high_error   q              q_error       z          z_ref   S_200        S_200_error    RA_vlssr     Dec_vlssr     S_vlssr      S_vlssr_error   TGSS-ADR1_name             RA_tgss    Dec_tgss    S_tgss       S_tgss_error   MRC_name        RA_mrc       Dec_mrc       S_mrc   S_mrc_error   RA_sumss     Dec_sumss    S_sumss   S_summs_error   RA_nvss       Dec_nvss      S_nvss        S_nvss_error   S_76           S_76_err      S_84           S_84_err      S_92          S_92_err      S_99            S_99_err      S_107           S_107_err     S_115           S_115_err     S_122         S_122_err     S_130           S_130_err     S_143         S_143_err     S_151         S_151_err     S_158         S_158_err      S_166         S_166_err      S_174        S_174_err     S_181        S_181_err     S_189        S_189_err      S_197        S_197_err      S_204        S_204_err      S_212        S_212_err     S_220        S_220_err      S_227        S_227_err     
  "GLEAM J000025-124341"   0.10489208   -12.728163    0.57758063   0.08505043    215.0   31.0         -1.0692909     0.096126124        1.547214      0.38122764          0.6788141       0.10345241        -0.80730164     0.107667334        -1.387229      0.2586688     ""         ""      0.56991345   0.010989039    ""           ""            ""           ""              "TGSSADR J000025.2-124340" 0.10514    -12.72782   0.369        0.0376         ""              ""           ""            ""      ""            ""           ""           ""        ""              0.105536886   -12.728098    0.12183256    0.0060916278   0.13900068     0.075628445   0.20757298     0.06134615    0.20040286    0.053950235   0.3013968       0.049424514   0.32246232      0.042728394   0.3648322       0.037236758   0.36826947    0.03458676    0.44373295      0.033631224   0.44142598    0.032908887   0.53390694    0.031943496   0.5519862     0.032210615    0.49954724    0.030283978    0.6020765    0.035903543   0.531211     0.03140714    0.58931136   0.031239593    0.5659257    0.030508658    0.5681672    0.027470294    0.58529127   0.02618679    0.5635834    0.02533924     0.5823658    0.025382724   
  "GLEAM J000059-751201"   0.24855986   -75.2004      0.9131134    0.038812246   163.0   10.0         -0.51377785    0.0924833          2.327531      1.520683            0.15603448      0.08494629        -0.44149777     0.097753756        -1.104986      0.13798851    ""         ""      0.9614132    0.019586442    ""           ""            ""           ""              ""                         ""         ""          ""           ""             ""              ""           ""            ""      ""            0.25791666   -75.20064    0.4784    0.02392         ""            ""            ""            ""             0.46861857     0.13236871    0.6379191      0.09532563    0.68503165    0.09866162    0.63344574      0.094745114   0.7633639       0.06667647    0.81961423      0.05522741    0.81090003    0.047857545   0.84474045      0.04541858    0.9064484     0.04424967    0.9115849     0.041580163   0.9502036     0.042187814    0.90067476    0.040328845    0.9336042    0.041632716   0.92330444   0.04102542    0.9424407    0.041683402    0.96588695   0.040207375    0.89211535   0.040792022    0.86343783   0.04013741    0.81225747   0.038041197    0.8104226    0.0368492     
  "GLEAM J000125-132630"   0.35771447   -13.441781    1.8740435    0.060966592   108.0   20.0         -0.7416402     0.07705866         0.85281193    0.54196435          -0.24750634     0.078546405       -0.67955256     0.086469114        -0.4900602     0.06517736    ""         ""      1.5375776    0.010493336    0.35804662   -13.441887    1.9399997    0.09699999      "TGSSADR J000126.0-132632" 0.35837    -13.44235   1.5113001    0.1515         "MRC 2358-137"  0.35958335   -13.441667    1.22    0.061         ""           ""           ""        ""              0.35853577    -13.442615    0.43427247    0.021713624    1.8136566      0.09700875    1.829201       0.08543299    1.8366717     0.07950282    1.7588209       0.07173975    1.9486586       0.07077931    1.8193709       0.06450897    1.8951968     0.06496692    1.8291879       0.062931135   1.8072132     0.061385475   1.7785298     0.06043815    1.7932317     0.059765227    1.6957883     0.056702837    1.642908     0.05667545    1.6243547    0.054948676   1.6416559    0.054659672    1.6121862    0.054096047    1.547809     0.050754532    1.4686849    0.047862355   1.4189959    0.046231605    1.4622277    0.047199395   
  "GLEAM J000234-052319"   0.6438916    -5.3886375    0.6321264    0.034151      134.0   39.0         -0.47730327    0.07166941         2.6214726     1.6305338           -0.10879123     0.09370418        -0.44269225     0.10825413         -0.6919427     0.14949754    ""         ""      0.56219304   0.011872646    0.6423709    -5.389893     0.544879     0.027243951     "TGSSADR J000234.4-052324" 0.64367    -5.39016    0.4818       0.0486         ""              ""           ""            ""      ""            ""           ""           ""        ""              0.6438399     -5.3901634    0.23142657    0.011571328    0.5039531      0.09383471    0.55011314     0.0714108     0.5338793     0.06268436    0.5992005       0.05913282    0.64194673      0.054234043   0.6170297       0.049515493   0.6410044     0.04378898    0.61946476      0.041551862   0.62346756    0.034337774   0.59985644    0.031006018   0.61835665    0.029254597    0.6143862     0.028074583    0.66574985   0.03052432    0.59597474   0.028693536   0.56039244   0.027230926    0.5316822    0.02593348     0.592141     0.032028627    0.53509974   0.02966999    0.53151584   0.02827688     0.53750736   0.029430753   
  "GLEAM J000242-502447"   0.67569464   -50.41326     1.474146     0.20239292    132.0   27.0         -0.76651       0.17746376         0.47790748    0.42402157          -0.05579304     0.07238894        -0.5382614      0.15693799         -0.404078      0.058213044   ""         ""      1.4676133    0.010131896    ""           ""            ""           ""              "TGSSADR J000242.1-502449" 0.67551    -50.41384   1.6525       0.1654         "MRC 0000-506"  0.6770833    -50.413612    1.28    0.064         0.6756667    -50.413223   0.6456    0.03228         ""            ""            ""            ""             1.2312834      0.09161484    1.3175479      0.075782634   1.492583      0.07199349    1.3891703       0.0699286     1.4556149       0.05879336    1.501829        0.05479025    1.4415866     0.052238803   1.4797258       0.051207855   1.4675767     0.049135864   1.4499147     0.04737309    1.4796832     0.047106694    1.4376365     0.04593172     1.3927435    0.04534034    1.4323778    0.046046726   1.3880119    0.044765785    1.3750459    0.044427574    1.3727076    0.04581534     1.3595303    0.044722736   1.3089937    0.04375107     1.3357676    0.044117045   
  "GLEAM J000253-562107"   0.7225003    -56.351986    2.1337483    0.1454663     147.0   20.0         -0.32063124    0.0852247          1.8028636     0.68811834          0.046590358     0.07299144        -0.2989539      0.117232494        -0.48935384    0.03350993    ""         ""      2.0982928    0.013859889    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0000-566"  0.72291666   -56.350834    2.07    0.1035        0.72304165   -56.353416   1.35      0.0675          ""            ""            ""            ""             1.7356573      0.10958308    1.8767436      0.08804021    1.8622811     0.08636823    1.91622         0.08518019    2.030509        0.076007      2.0663834       0.07225499    2.102996      0.07173758    2.1322703       0.07119756    2.151809      0.07102977    2.1157277     0.06851575    2.1303277     0.067948274    2.1304646     0.06850046     2.121947     0.06810367    2.0476334    0.065904796   2.0948193    0.06685482     2.0625803    0.066819906    2.0418684    0.06471707     1.986926     0.06230799    1.957021     0.061261807    1.9614557    0.061370153   
  "GLEAM J000325-670125"   0.85437286   -67.02368     1.5748881    0.06748494    101.0   23.0         -0.66810817    0.10599044         1.7944516     1.7247138           -0.4727002      0.09383767        -0.6775655      0.10577027         -0.7306183     0.08402227    ""         ""      1.1904552    0.014107318    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0000-673"  0.85583335   -67.02472     0.85    0.0425        0.85529166   -67.023415   0.4318    0.02159         ""            ""            ""            ""             1.4460722      0.101671815   1.5174448      0.085530564   1.6473219     0.08411793    1.4417502       0.084267974   1.5364281       0.063211285   1.5961826       0.06030059    1.5468574     0.055370938   1.5594944       0.05414897    1.4438794     0.049752835   1.4169155     0.04750121    1.3644917     0.045202464    1.316812      0.044514664    1.2421544    0.04480548    1.1792457    0.041659407   1.1656338    0.041737635    1.1480258    0.041647207    1.0420815    0.040799692    1.0834042    0.04015804    1.0252231    0.038794       1.0178634    0.03869811    
  "GLEAM J000340-293559"   0.91909      -29.59985     0.39385292   0.092532665   493.0   172.0        -0.3667311     0.07071022         0.57199234    0.12584215          0.54060066      0.11284993        -0.3667311      0.08936199         -0.12221768    0.5006264     ""         ""      0.2548617    0.008918497    ""           ""            ""           ""              "TGSSADR J000340.6-293558" 0.91953    -29.59967   0.1907       0.0205         ""              ""           ""            ""      ""            ""           ""           ""        ""              0.9195603     -29.599821    0.123081185   0.0061540594   0.15152484     0.07542048    0.15978889     0.061765      0.10477462    0.054089677   0.060402837     0.04729593    0.14308956      0.03985345    0.18948187      0.032758314   0.20698695    0.029893864   0.19943671      0.027120808   0.2545139     0.028804345   0.24457687    0.028216967   0.20571768    0.024677018    0.25483432    0.024458267    0.24619965   0.020365443   0.22051254   0.018366067   0.250706     0.018372517    0.25623035   0.0180615      0.24649817   0.022387898    0.2537338    0.021264916   0.2724394    0.020838043    0.28911543   0.021765452   
  "GLEAM J000353-382707"   0.9733197    -38.45197     0.8837273    0.023658138   347.0   58.0         -0.35432437    0.1054635          0.20155956    0.08959095          0.19186428      0.08945668        -0.35432437     0.1054635          -0.19736288    0.09441605    ""         ""      0.82616764   0.008096641    ""           ""            ""           ""              "TGSSADR J000353.7-382703" 0.97392    -38.45104   0.73840004   0.074          "MRC 0001-387"  0.9745833    -38.45111     0.9     0.044999998   0.973875     -38.451027   0.6386    0.03193         0.97363764    -38.45091     0.42497164    0.021248583    0.6532003      0.07681814    0.65225035     0.057589147   0.70244896    0.05491019    0.73295635      0.05264109    0.7417509       0.039906204   0.7073533       0.035972245   0.7492099     0.035288244   0.7855004       0.03384069    0.74097794    0.03360094    0.79357046    0.032015428   0.7745634     0.031051148    0.82747716    0.0318447      0.8452653    0.031334564   0.8161927    0.03039282    0.8319922    0.02986592     0.85099167   0.030100318    0.7989621    0.02838405     0.82055753   0.02899402    0.8001854    0.02831735     0.83856213   0.029386455   
  "GLEAM J000359-270606"   0.99767107   -27.101841    0.41596004   0.045707773   165.0   32.0         -1.0161009     0.07963823         1.1394109     0.40601274          0.1338506       0.08240258        -0.84417135     0.094265275        -0.82632685    0.18822545    ""         ""      0.402066     0.009568721    ""           ""            ""           ""              "TGSSADR J000359.7-270610" 0.99899    -27.10288   0.34489998   0.035          ""              ""           ""            ""      ""            ""           ""           ""        ""              0.9989162     -27.102884    0.0800383     0.004001915    0.31938398     0.08060085    0.22527656     0.062269118   0.2638405     0.056242023   0.35891542      0.052272215   0.32804564      0.03978502    0.35183614      0.036025777   0.4196778     0.031786524   0.4367374       0.031236708   0.38975462    0.032905065   0.41858202    0.029462175   0.41490412    0.027590653    0.42058608    0.027667388    0.41607276   0.025864894   0.40303442   0.024369186   0.41493395   0.02504468     0.40688252   0.023201466    0.39045224   0.02187833     0.41479963   0.022067986   0.41189495   0.02230886     0.3710368    0.02086351    
